Project,Language
sqlalchemy-utils,python
sqlite3,c++
sql-parser,c++
stb,c++
stringtemplate4,jvm
strongswan,c++
sudoers,c
suricata,rust
swift-nio,swift
swift-protobuf,swift
systemd,c++
syzkaller,go
tailscale,go
tarantool,c
tcmalloc,c++
tdengine,c
teleport,go
tendermint,go
tensorflow,c++
tensorflow-py,python
tesseract-ocr,c++
testing-native-go-fuzzing,go
thrift,c++
tidb,go
tidy-html5,c++
tink,c++
tint,c++
tinygltf,c++
tinyobjloader,c++
tinyxml2,c++
tmux,c
tomcat,jvm
toml_edit,rust
toml,python
tor,c++
tpm2,c++
tpm2-tss,c++
tqdm,python
tremor,c++
trust-dns,rust
uint256,go
ujson,python
unbound,c
underscore,python
unicode-rs,rust
unicorn,c++
unit,c
unrar,c++
upb,c++
uriparser,c++
urllib3,python
usbguard,c++
usrsctp,c++
utf8proc,c
util-linux,c
uwebsockets,c++
valijson,c++
varnish,c
vitess,go
vlc,c
vorbis,c++
w3m,c
wabt,c++
wasm3,c
wasmtime,rust
wavpack,c++
wazuh,c
websocket-client,python
websockets,python
wget2,c++
wget,c++
wireshark,c++
woff2,c++
wolfmqtt,c
wolfssl,c++
woodstox,jvm
wpantund,c++
wuffs,c++
wxwidgets,c++
xbps,c
xerces-c,c++
xlrd,python
xmlpull,jvm
xmlsec,c++
xmltodict,python
xnu,"c"
xpdf,c++
xs,c
xstream,jvm
xvid,c++
xz,c++
yajl-ruby,c++
yara,c++
ygot,go
zeek,c++
zip4j,jvm
zipp,python
zip-rs,rust
zlib-ng,c++
zlib,c++
znc,c++
zopfli,c++
zstd,c++
zxing,jvm
zydis,c
